,Groep,Antwoord_reclass,Question_label,Aantal_tot,totaal
1,Jagers,Belangrijk,Kooien,774,3328
2,Jagers,Belangrijk,Aankorrelplaatsen,2652,3391
3,Jagers,Belangrijk,Drijfjacht,2475,3390
4,Jagers,Belangrijk,Hoogzitjacht,3076,3397
5,Jagers,Belangrijk,Nachtjacht,2610,3380
6,Jagers,Belangrijk,Preventieve maatregelen,1205,3309
7,Landbouwers,Belangrijk,Kooien,1415,1989
8,Landbouwers,Belangrijk,Aankorrelplaatsen,1662,2022
9,Landbouwers,Belangrijk,Drijfjacht,1693,2031
10,Landbouwers,Belangrijk,Hoogzitjacht,1785,2031
11,Landbouwers,Belangrijk,Nachtjacht,1649,2032
12,Landbouwers,Belangrijk,Preventieve maatregelen,565,1983
13,Natuurvereniging,Belangrijk,Kooien,305,1372
14,Natuurvereniging,Belangrijk,Aankorrelplaatsen,192,1377
15,Natuurvereniging,Belangrijk,Drijfjacht,189,1383
16,Natuurvereniging,Belangrijk,Hoogzitjacht,337,1377
17,Natuurvereniging,Belangrijk,Nachtjacht,132,1381
18,Natuurvereniging,Belangrijk,Preventieve maatregelen,882,1348
19,Publiek buiten everzwijngebied,Belangrijk,Anticonceptie,394,1031
20,Publiek buiten everzwijngebied,Belangrijk,Elektrische omheining,673,1031
21,Publiek buiten everzwijngebied,Belangrijk,Jacht,569,1031
22,Publiek buiten everzwijngebied,Belangrijk,Kooien,178,1031
23,Publiek buiten everzwijngebied,Belangrijk,Niet-elektrische omheining,1309,1031
24,Publiek buiten everzwijngebied,Belangrijk,Translocatie,504,1031
25,Publiek in everzwijngebied,Belangrijk,Anticonceptie,532,1023
26,Publiek in everzwijngebied,Belangrijk,Elektrische omheining,627,1023
27,Publiek in everzwijngebied,Belangrijk,Jacht,556,1023
28,Publiek in everzwijngebied,Belangrijk,Kooien,222,1023
29,Publiek in everzwijngebied,Belangrijk,Niet-elektrische omheining,982,1023
30,Publiek in everzwijngebied,Belangrijk,Translocatie,464,1023
31,Jagers,Onbelangrijk,Kooien,1954,3328
32,Jagers,Onbelangrijk,Aankorrelplaatsen,431,3391
33,Jagers,Onbelangrijk,Drijfjacht,577,3390
34,Jagers,Onbelangrijk,Hoogzitjacht,166,3397
35,Jagers,Onbelangrijk,Nachtjacht,509,3380
36,Jagers,Onbelangrijk,Preventieve maatregelen,1489,3309
37,Landbouwers,Onbelangrijk,Kooien,281,1989
