"ID";"wildsoort";"postcode_afschot_locatie";"gemeente_afschot_locatie";"provincie";"afschotjaar"
1;"Ree";8950;"HEUVELLAND";"West-Vlaanderen";2016
2;"Ree";3950;"BOCHOLT";"Limburg";2014
3;"Ree";3370;"Boutersem";"Vlaams-Brabant";2009
4;"Ree";2900;"Schoten";"Antwerpen";2010
5;"Wild zwijn";3582;NA;"Limburg";2010
6;"Ree";3540;"HERK-DE-STAD";"Limburg";2016
7;"Ree";3720;"KORTESSEM";"Limburg";2016
8;"Ree";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2014
9;"Ree";3650;"Bilzen";"Limburg";2010
10;"Ree";3740;"Beeverst-Bilzen";"Limburg";2012
11;"Ree";2800;"Mechelen";"Antwerpen";2010
12;"Ree";3150;"Haacht";"Vlaams-Brabant";2004
13;"Ree";2880;"Bornem";"Antwerpen";2010
14;"Ree";3620;"Gellik";"Limburg";2013
15;"Ree";3690;"ZUTENDAAL";"Limburg";2016
16;"Ree";3960;"BREE";"Limburg";2014
17;"Ree";3910;"NEERPELT";"Limburg";2015
18;"Ree";3793;"Teuven";"Voeren";2007
19;"Ree";2980;"ZOERSEL";"Antwerpen";2018
20;"Ree";3300;"TIENEN";"Vlaams-Brabant";2018
21;"Ree";2900;"Schoten";"Antwerpen";2003
22;"Ree";2370;"Arendonk";"Antwerpen";2008
23;"Wild zwijn";3920;"LOMMEL";"Limburg";2017
24;"Ree";3370;"BOUTERSEM";"Vlaams-Brabant";2014
25;"Ree";2390;"Malle";"Antwerpen";2005
26;"Ree";3665;"As";"Limburg";2005
27;"Wild zwijn";NA;NA;"Limburg";2016
28;"Ree";2560;"NIJLEN";"Antwerpen";2014
29;"Ree";2380;"Bornem";"Antwerpen";2003
30;"Ree";3150;"HAACHT";"Vlaams-Brabant";2018
31;"Ree";2230;"Herselt";"Antwerpen";2002
32;"Ree";2370;"Arendonk";"Antwerpen";2010
33;"Wild zwijn";2400;"MOL";"Antwerpen";2017
34;"Ree";3670;"Ellekom";"Limburg";2007
35;"Ree";2450;"Meerhout";"Antwerpen";2007
36;"Ree";3620;"Gellik";"Limburg";2006
37;"Wild zwijn";3530;"HOUTHALEN-HELCHTEREN";"Limburg";2017
38;"Ree";3130;"Begijnendijk";"Vlaams-Brabant";2007
39;"Ree";9180;"MOERBEKE";"Oost-Vlaanderen";2017
40;"Ree";3580;"Beringen";"Limburg";2012
41;"Ree";3930;"Achel";"Limburg";2013
42;"Ree";2275;"GIERLE";"Antwerpen";2007
43;"Ree";2450;"MEERHOUT";"Antwerpen";2017
44;"Ree";3680;"0poeteren";"Limburg";2004
45;"Ree";9140;"TEMSE";"Oost-Vlaanderen";2015
46;"Ree";2321;"Meer";"Antwerpen";2007
47;"Ree";9930;"ZOMERGEM";"Oost-Vlaanderen";2017
48;"Ree";2490;"Balen";"Antwerpen";2006
49;"Ree";3440;"Halle-Booienhoven";"Vlaams-Brabant";2012
50;"Ree";3070;"KORTENBERG";"Vlaams-Brabant";2015
51;"Ree";2328;"Heerle";"Antwerpen";2011
52;"Ree";NA;NA;"Limburg";2016
53;"Ree";2220;"HEIST-OP-DEN-BERG";"Antwerpen";2016
54;"Ree";2322;"Hoogstraten";"Antwerpen";2007
55;"Ree";8970;"POPERINGE";"West-Vlaanderen";2016
56;"Ree";3670;"MEEUWEN-GRUITRODE";"Limburg";2015
57;"Ree";3920;"Lommel";"Limburg";2003
58;"Ree";3720;"Kortesem";"Limburg";2006
59;"Wild zwijn";NA;NA;"Limburg";2016
60;"Ree";3650;"Bilzen";"Limburg";2003
61;"Ree";3210;"Lubbeek";"Vlaams-Brabant";2010
62;"Ree";2370;"Arendonk";"Antwerpen";2006
63;"Ree";3790;"Diepenbeek";"Voeren";2011
64;"Ree";3790;"Diepenbeek";"Voeren";2005
65;"Ree";NA;NA;"Limburg";2018
66;"Ree";2880;"Bornem";"Antwerpen";2007
67;"Ree";2980;"Hal";"Antwerpen";2013
68;"Ree";3050;"OUD-HEVERLEE";"Vlaams-Brabant";2014
